stat_id,metric_key,metric_label,year,stratum,value_numeric,value_text,unit,denominator_notes,population_notes,source_id,report_section,extraction_method
mssa_pct_2024,registry.mssa_pct,MSSA,2024,cultured,48.0,48.0,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
saureus_pct_2024,registry.staph_aureus_pct,Staphylococcus aureus,2024,cultured,56.9,56.9,percent,Among individuals who had a bacterial culture during the year.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
ntm_pct_2024,registry.ntm_pct,Mycobacterial species,2024,mycobacterial_culture,11.6,11.6,percent,Among people with one or more mycobacterial species isolated out of those who had a mycobacterial culture during the year.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
bcepacia_pct_2024,registry.burkholderia_pct,Burkholderia cepacia complex,2024,cultured,1.3,1.3,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pex_iv_pct_2009,registry.pex_iv_pct,Treated with IV antibiotics for a pulmonary exacerbation,2009,all,35.8,35.8,percent,PEX defined as IV antibiotics in hospital and/or at home.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pex_iv_pct_2019,registry.pex_iv_pct,Treated with IV antibiotics for a pulmonary exacerbation,2019,all,31.5,31.5,percent,PEX defined as IV antibiotics in hospital and/or at home.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pex_iv_pct_2024,registry.pex_iv_pct,Treated with IV antibiotics for a pulmonary exacerbation,2024,all,12.1,12.1,percent,PEX defined as IV antibiotics in hospital and/or at home.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pex_count_mean_2024,registry.pex_count_mean,Pulmonary exacerbations per year mean,2024,all,0.2,0.2,count,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
clinic_visits_mean_2019,registry.clinic_visits_mean,Outpatient CF center visits per year mean,2019,all,4.3,4.3,count,Encounters with Clinic selected as location.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
clinic_visits_mean_2024,registry.clinic_visits_mean,Outpatient CF center visits per year mean,2024,all,3.0,3.0,count,Encounters with Clinic selected as location. Sustained decline in outpatient volume since 2020.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
dornase_pct_2024,registry.dornase_pct,Dornase alfa,2024,age_ge_6,80.6,80.6,percent,Therapy at any clinical visit; intolerant/allergic excluded.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
hypertonic_saline_pct_2024,registry.hypertonic_saline_pct,Hypertonic saline,2024,age_ge_6,62.6,62.6,percent,Therapy at any clinical visit; intolerant/allergic excluded.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
tobramycin_pa_pct_2024,registry.inhaled_tobramycin_pct,Inhaled tobramycin among PA-positive,2024,age_ge_6_pa_positive,51.2,51.2,percent,Includes TOBI solution TOBI Podhaler and Bethkis.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
aztreonam_pa_pct_2024,registry.inhaled_aztreonam_pct,Inhaled aztreonam among PA-positive,2024,age_ge_6_pa_positive,30.3,30.3,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
azithromycin_pa_pct_2024,registry.azithromycin_pct,Azithromycin among PA-positive,2024,age_ge_6_pa_positive,47.7,47.7,percent,Eligible if meeting selection criteria from the first US azithromycin trial.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
oxygen_pct_2024,registry.supplemental_oxygen_pct,Supplemental oxygen,2024,all,6.4,6.4,percent,Continuous nocturnal or with exertion.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
modulator_rx_lt2_2024,registry.modulator_prescribed_pct,Prescribed a CFTR modulator,2024,age_lt_2,28.3,28.3,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
modulator_rx_2_5_2024,registry.modulator_prescribed_pct,Prescribed a CFTR modulator,2024,age_2_5,78.6,78.6,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
modulator_rx_6_11_2024,registry.modulator_prescribed_pct,Prescribed a CFTR modulator,2024,age_6_11,84.6,84.6,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
modulator_rx_ge12_2024,registry.modulator_prescribed_pct,Prescribed a CFTR modulator,2024,age_ge_12,87.5,87.5,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
modulator_eligible_after_vtd,registry.modulator_eligible_pct,Eligible for at least one CFTR modulator after VTD approval,2024,all,92.0,~92,percent,CFF narrative after FDA approval of vanzacaftor-tezacaftor-deutivacaftor.,Approximate figure as published. 2024 charts generally still classify VTD-only patients as ineligible unless explicitly stated.,cff_registry_adr_2024,About this report / aging narrative,manual_from_published_text
modulator_ineligible_n_2024,registry.modulator_ineligible_n,Ineligible for a CFTRm by age or CFTR genotype,2024,all,2434,2434,count,CFF text: total 2434 ineligible by age or genotype.,,cff_registry_adr_2024,Ineligible for any CFTR modulator,manual_from_published_text
modulator_ineligible_adolescents_adults_2024,registry.modulator_ineligible_with_data_n,Modulator-ineligible adolescents and adults with Registry data,2024,age_ge_12_no_lung_transplant,1226,1226,count,Restricted to age 12+ with no lung transplant history.,Of 2434 ineligible by age or genotype.,cff_registry_adr_2024,Ineligible for any CFTR modulator,manual_from_published_text
eligible_not_prescribed_ge12,registry.eligible_not_prescribed_n,Eligible in 2020 but no CFTRm prescription 2022-2024,2024,age_ge_12_in_2020,623,623,count,Aged 12+ as of 2020; no lung transplant. Compared in the report to 12975 people with ivacaftor or ETI prescription in all years 2020-2024.,Reasons are mixed (side effects perceived stability access).,cff_registry_adr_2024,Eligible but not prescribed a CFTR modulator,manual_from_published_text
f508del_any_2024,registry.f508del_any_pct,At least one F508del variant among genotyped,2024,genotyped,85.0,85.0,percent,,,cff_registry_adr_2024,CFTR gene variants,manual_from_published_text
f508del_homozygous_2024,registry.f508del_homozygous_pct,Homozygous F508del among genotyped,2024,genotyped,43.4,43.4,percent,,,cff_registry_adr_2024,CFTR gene variants,manual_from_published_text
f508del_heterozygous_2024,registry.f508del_heterozygous_pct,Heterozygous F508del among genotyped,2024,genotyped,41.6,41.6,percent,,,cff_registry_adr_2024,CFTR gene variants,manual_from_published_text
f508del_neither_2024,registry.f508del_neither_or_unknown_pct,Neither F508del or unknown among genotyped,2024,genotyped,15.0,15.0,percent,,,cff_registry_adr_2024,CFTR gene variants,manual_from_published_text
lung_transplant_2019,registry.lung_transplants,Lung transplants all procedures,2019,all,249,249,count,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
lung_transplant_2024,registry.lung_transplants,Lung transplants all procedures,2024,all,61,61,count,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
cfrd_pct_2024_all,registry.cfrd_pct,Cystic fibrosis-related diabetes,2024,complications_no_lung_transplant,19.2,19.2,percent,Complications chapter n=32492 (13060 age<18 and 19432 age>=18). Transplant recipients censored at year of transplant.,Do not apply this percentage to the full 33989 demographic denominator without noting the exclusion.,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
cfrd_pct_2024_lt18,registry.cfrd_pct,Cystic fibrosis-related diabetes,2024,age_lt_18_no_lung_transplant,4.2,4.2,percent,n=13060 in complications table.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
cfrd_pct_2024_ge18,registry.cfrd_pct,Cystic fibrosis-related diabetes,2024,age_ge_18_no_lung_transplant,29.3,29.3,percent,n=19432 in complications table.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
cfrd_hba1c_n_2024,registry.cfrd_hba1c_n,Individuals with CFRD and HbA1c reported,2024,cfrd,5019,5019,count,Figure titled Hemoglobin A1c Among Those With CFRD N=5019.,,cff_registry_adr_2024,CFRD treatment,manual_from_published_text
cfrd_insulin_injections_2024,registry.cfrd_chronic_insulin_injections_pct,CFRD treated with chronic insulin via injections,2024,cfrd,47.9,47.9,percent,Not mutually exclusive; treatment at any point during the year.,,cff_registry_adr_2024,CFRD Treatment 2024,manual_from_published_table
cfrd_insulin_pump_2024,registry.cfrd_insulin_pump_pct,CFRD treated with chronic insulin via pump,2024,cfrd,20.9,20.9,percent,Not mutually exclusive.,,cff_registry_adr_2024,CFRD Treatment 2024,manual_from_published_table
cfrd_no_treatment_2024,registry.cfrd_no_treatment_pct,CFRD with no treatment noted,2024,cfrd,16.4,16.4,percent,Not mutually exclusive.,,cff_registry_adr_2024,CFRD Treatment 2024,manual_from_published_table
cfrd_non_insulin_2024,registry.cfrd_non_insulin_pct,CFRD treated with non-insulin therapies,2024,cfrd,8.0,8.0,percent,Not mutually exclusive.,,cff_registry_adr_2024,CFRD Treatment 2024,manual_from_published_table
cgm_use_diabetes_2024,registry.cgm_use_pct,CGM use among CFRD type 1 and type 2 diabetes,2024,diabetes,58.0,~58,percent,CFF: nearly 58.0 percent utilized continuous glucose monitoring.,Approximate as published.,cff_registry_adr_2024,CFRD narrative,manual_from_published_text
liver_cirrhosis_pct_2024,registry.liver_cirrhosis_pct,Liver disease cirrhosis,2024,complications_no_lung_transplant,2.7,2.7,percent,Complications table all ages.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
liver_noncirrhosis_pct_2024,registry.liver_noncirrhosis_pct,Liver disease non-cirrhosis,2024,complications_no_lung_transplant,3.5,3.5,percent,,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
cirrhosis_n_2024,registry.cirrhosis_n,Individuals with cirrhosis in complications table,2024,cirrhosis,861,861,count,,,cff_registry_adr_2024,Complications of Cirrhosis 2024,manual_from_published_table
udca_pct_2024,registry.udca_pct,Prescribed ursodeoxycholic acid,2024,all,10.1,10.1,percent,Primarily for abnormal LFTs or suspected CF liver disease. CFF recommends against routine UDCA to prevent advanced liver disease in all persons with CF.,,cff_registry_adr_2024,Gastrointestinal therapies,manual_from_published_text
gerd_pct_2024,registry.gerd_pct,GERD,2024,complications_no_lung_transplant,35.0,35.0,percent,,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
osteopenia_pct_2024,registry.osteopenia_pct,Osteopenia,2024,complications_no_lung_transplant,11.8,11.8,percent,Adults 19.4 percent; age<18 0.8 percent.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
osteoporosis_pct_2024,registry.osteoporosis_pct,Osteoporosis,2024,complications_no_lung_transplant,5.0,5.0,percent,Adults 8.3 percent.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
anxiety_pct_2024_lt18,registry.anxiety_pct,Anxiety disorder,2024,age_12_17_mental_health,14.4,14.4,percent,Mental health percentages include individuals aged 12+; n ages 12-17 = 4903. Table also reports age<18 as 14.4 percent.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
anxiety_pct_2024_ge18,registry.anxiety_pct,Anxiety disorder,2024,age_ge_18_mental_health,31.9,31.9,percent,,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
depression_pct_2024_lt18,registry.depression_pct,Depression,2024,age_12_17_mental_health,9.2,9.2,percent,,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
depression_pct_2024_ge18,registry.depression_pct,Depression,2024,age_ge_18_mental_health,30.2,30.2,percent,,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
anxiety_or_depression_both_2024,registry.anxiety_depression_overlap_pct,Both anxiety and depression among those with either,2024,anxiety_or_depression,49.4,49.4,percent,,,cff_registry_adr_2024,Depression and Anxiety,manual_from_published_text
sinus_disease_pct_2024,registry.sinus_disease_pct,Sinus disease,2024,complications_no_lung_transplant,35.6,35.6,percent,Adults 50.2 percent.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
hypertension_pct_2024,registry.hypertension_pct,Hypertension,2024,complications_no_lung_transplant,5.4,5.4,percent,Adults 8.7 percent.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
cancer_pct_2024,registry.cancer_histology_pct,Cancer confirmed by histology,2024,complications_no_lung_transplant,0.4,0.4,percent,Adults 0.7 percent. 2024 report newly expanded malignancy reporting in the aging chapter.,,cff_registry_adr_2024,Complications of CF 2024,manual_from_published_table
age_40_49_n_2024,registry.people_with_cf,People with CF ages 40-49,2024,age_40_49,3248,3248,count,Aging chapter includes transplant recipients in this demographic table.,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
age_50_59_n_2024,registry.people_with_cf,People with CF ages 50-59,2024,age_50_59,1598,1598,count,,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
age_ge60_n_2024,registry.people_with_cf,People with CF ages 60 and older,2024,age_ge_60,1437,1437,count,CFF: more than 1400 individuals aged 60+ versus fewer than 10 in the late 1980s.,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
fev1_40_49_2024,registry.fev1_pct_predicted,FEV1 percent predicted mean,2024,age_40_49,72.8,72.8,percent_predicted,Aging chapter; GLI 2022; ages >7.,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
fev1_50_59_2024,registry.fev1_pct_predicted,FEV1 percent predicted mean,2024,age_50_59,70.2,70.2,percent_predicted,,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
fev1_ge60_2024,registry.fev1_pct_predicted,FEV1 percent predicted mean,2024,age_ge_60,71.8,71.8,percent_predicted,,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
pert_40_49_2024,registry.pert_pct,Pancreatic enzyme replacement therapy,2024,age_40_49,77.3,77.3,percent,CFF notes lower PERT in older groups may reflect milder surviving phenotypes.,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
pert_ge60_2024,registry.pert_pct,Pancreatic enzyme replacement therapy,2024,age_ge_60,45.4,45.4,percent,,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
pa_40_49_2024,registry.pseudomonas_pct,Pseudomonas aeruginosa,2024,age_40_49,46.2,46.2,percent,,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
ntm_ge60_2024,registry.ntm_pct,Mycobacterial species,2024,age_ge_60,18.7,18.7,percent,Among those with a mycobacterial culture.,,cff_registry_adr_2024,Aging narrative / summary,manual_from_published_text
oxygen_ge60_2024,registry.supplemental_oxygen_pct,Supplemental oxygen,2024,age_ge_60,20.2,20.2,percent,,,cff_registry_adr_2024,Aging summary table,manual_from_published_table
nbs_new_dx_2024,registry.newborn_screening_pct,New diagnoses detected by newborn screening,2024,diagnosed_2024,55.8,55.8,percent,86.5 percent among diagnoses at age less than 6 months.,,cff_registry_adr_2024,Diagnosis,manual_from_published_text
pharmacist_visit_2024,registry.pharmacist_visit_pct,Seen by a pharmacist at least once,2024,all,60.4,60.4,percent,,,cff_registry_adr_2024,Clinical care,manual_from_published_text
multidisciplinary_eval_2024,registry.rt_dietitian_sw_pct,Evaluated by RT/PT dietitian and social worker,2024,all,77.0,77.0,percent,,,cff_registry_adr_2024,Clinical care,manual_from_published_text
