nct_id,brief_title,official_title,acronym,lead_sponsor_name,lead_sponsor_class,phase,overall_status,study_type,enrollment_count,enrollment_type,start_date,primary_completion_date,completion_date,why_stopped,sex,minimum_age,maximum_age,std_ages,healthy_volunteers,eligibility_criteria,brief_summary,conditions,has_results,is_fda_regulated_drug,primary_outcomes,retrieved_at,source_id
NCT00999921,Effects of Tamoxifen in Premenopausal Women With Benign Breast Disease Not at High-Risk of Developing Breast Cancer,A Single Blinded Randomized Controlled Trial of the Comparative Effects of Tamoxifen and Evening Primrose Oil in Premenopausal Non-high Risk Patients With Benign Breast Disease With Respect to the Estrogen Receptor Status.,,Medical College and Hospital Kolkata,OTHER,PHASE4,COMPLETED,INTERVENTIONAL,256,ACTUAL,2008-01,2014-08,2015-01,,FEMALE,16 Years,,CHILD;ADULT;OLDER_ADULT,0,"Inclusion Criteria:

* Clinical, Radiographic and Histological diagnosis of Benign Breast Disease.
* Benign Breast disease amenable to hormonal therapy.

Exclusion Criteria:

* Postmenopausal women.
* Premenopausal women with pregnancy or other contraindications to tamoxifen.
* Girls less than 16 years.
* Very large lesions which require surgery for cosmesis.
* High risk breast lesions like epitheliosis, atypia or atypical hyperplasia on histopathology or susceptible lesions prone to develop malignancy.
* Lesions like duct ectasia where hormone therapy is not likely to be of benefit.
* Inflammatory lesions which are amenable to antibiotic therapy or surgical drainage for treatment.
* Patients unwilling to undergo treatment.","The purpose of the study is to determine the efficacy and relapse rate of low dose, short duration treatment with tamoxifen in benign breast disease amenable to hormonal therapy with respect to etiology and estrogen receptor status and to realize its side-effects and cost of therapy.

To do a comparative analysis of the results with evening primrose oil which is one of the first line management in benign breast disease.",Benign Breast Disease | Fibrocystic Disease of Breast | Fibroadenoma | Mastalgia,1,,Number of Participants Analysed for Reduction in Lump Size ( 60% Reduction in Lump Size Considered to be a Satisfactory Response) | Number of Participants Analysed for Reduction in Mastalgia (Cardiff Breast Pain Score).,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01002534,Does a Nasal Instillation of Vardenafil Normalize the Nasal Potential Difference in Cystic Fibrosis Patients?,"Does a Nasal Instillation of Vardenafil Normalize the Nasal Potential Difference in Cystic Fibrosis Patients Homozygous for the F508del Mutation? A Randomized, Double Blind, Placebo-controlled Study.",,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,OTHER,PHASE2,TERMINATED,INTERVENTIONAL,5,ACTUAL,2011-10,2012-06,2018-03,not yet started,ALL,14 Years,,CHILD;ADULT;OLDER_ADULT,0,"Inclusion Criteria:

* Cystic fibrosis patients homozygous for the F508del mutation as confirmed by a genetic test
* Aged 14 years and older
* Male and female
* FEV1 \>50% of predicted normal

Exclusion Criteria:

* Acute respiratory tract infection or pulmonary exacerbation requiring antibiotic intervention within 2 weeks of visit 1
* Any condition prohibiting the correct measurement of the NPD
* Active or passive smoking
* Planned treatment or treatment with another investigational drug or therapy within 1 month prior to randomisation",The purpose of this study is to investigate the effect of a nasal instillation of Vardenafil on nasal potential difference in cystic fibrosis patients homozygous for the F508del mutation,Cystic Fibrosis,0,,Cumulated changes in response to Chloride-free solution and isoproterenol (reflecting chloride transport),2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01013896,Building Adherence to Live With And Navigate my Cystic Fibrosis (CF) Experience,Building Adherence to Live With And Navigate my CF Experience,BALANCE,Johns Hopkins University,OTHER,NA,COMPLETED,INTERVENTIONAL,128,ACTUAL,2009-07,2014-01,2014-05,,ALL,16 Years,,CHILD;ADULT;OLDER_ADULT,0,"Inclusion Criteria:

* Have a doctor confirmed diagnosis of CF
* Age 16 years old or older
* Prescribed an inhaled mucolytic, inhaled antibiotic therapy, chronic macrolide therapy and/or hypertonic saline therapy for the previous 12 months.
* Scheduled for a regular visit at either the pediatric or the adult CF clinic at Johns Hopkins Hospital.

Exclusion Criteria:

* Burkholderia cepacia complex isolated from the respiratory tract within the past 2 years.
* Had a lung transplant
* Participated in NA\_00008649 A pilot study of Motivational Interviewing for adults with CF.","The investigators research group and others have found that patient-reported adherence to all aspects of the regimen is suboptimal and objective measures suggest even poorer adherence. There is little data, however that identifies and examines the reason for nonadherence in an adult Cystic Fibrosis (CF) population or identifies effective strategies for improving adherence.

The investigators propose to evaluate the relative efficacy of a Motivational Interviewing-focused intervention (MI) in improving adherence and reducing CF-related morbidity compared to a CF education intervention (CFE; attention control group). Specifically, The investigators hypothesize that MI will result in improved regimen adherence and reduced CF morbidity compared to the CFE control group.",Cystic Fibrosis,0,,A medication possession ratio (MPR) will be calculated for each prescribed drug that is being monitored for adherence.,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01018303,Safety and Efficacy of an Antioxidant-rich Multivitamin Supplement in Cystic Fibrosis,Safety and Efficacy of a Novel Antioxidant-rich Multivitamin Supplement for Persons With Cystic Fibrosis,,"University of Colorado, Denver",OTHER,PHASE1;PHASE2,COMPLETED,INTERVENTIONAL,17,ACTUAL,2007-08,2008-06,2009-11,,ALL,10 Years,40 Years,CHILD;ADULT,0,"Inclusion Criteria:

* Diagnosis of CF as evidenced by a sweat chloride test \> 60mEq/L or by the presence of two known CF mutations
* Male or female, ages between 10-40 years old
* \> 30 kg body weight
* FEV1 \> 35% predicted for age and height
* Clinically stable with no recent hospitalization within the past 2 weeks

Exclusion Criteria:

* Significant liver disease as defined by clinical findings of portal hypertension or cirrhosis or AST, ALT, or GGT \>2x upper limits of normal within the previous 6 months
* Poor compliance with medical regimen as assessed by CF clinic care providers
* Oral supplementation with AquADEKs or another source of beta-carotene or CoQ10 in the 2 months prior to the study
* Pregnant or lactating
* Participation in another interventional clinical trial within the previous 2 weeks
* Difficulty swallowing softgels","The purpose of this study is to test the safety and efficacy of the final commercial formulation of an antioxidant enriched multivitamin supplement in softgel capsule form (AquADEKs) in increasing the plasma levels of certain nutrients and antioxidants in individuals with cystic fibrosis.

Hypothesis: An oral antioxidant-rich multivitamin supplement (AquADEKs), which uses a Generally Regarded As Safe (GRAS) molecule to form micelle-like vehicles, will safely increase systemic levels of beta-carotene, coenzyme Q10, and gamma-tocopherol, decrease PIVKA-II levels, while maintaining levels of vitamins A and D in the normal range in persons with CF \> 10 years of age.",Cystic Fibrosis,0,,Plasma levels of beta-carotene,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01018368,Study of VX-770 and Rifampin in Healthy Male Subjects,An Open-Label Phase 1 Study to Examine the Effect of Multiple Doses of Rifampin on the Single-Dose Pharmacokinetics of VX 770 in Healthy Subjects,,Vertex Pharmaceuticals Incorporated,INDUSTRY,PHASE1,COMPLETED,INTERVENTIONAL,24,ESTIMATED,2009-11,2010-03,2010-03,,MALE,18 Years,55 Years,ADULT,1,"Inclusion Criteria:

* Subject must be male and between 18 and 55 years of age
* Subject must have a body mass index (BMI) from 18 to 30 kg/m2

Exclusion Criteria:

* History of any illness or condition that, in the opinion of the investigator might confound the results of the study or pose an additional risk in administering study drug to the subject
* Subjects who have active tuberculosis, human immunodeficiency virus, hepatitis C, or active hepatitis B",The objectives of this study are to evaluate the effects of multiple doses of rifampin on the single-dose pharmacokinetics of VX 770.,Cystic Fibrosis,0,,VX 770 pharmacokinetic (PK) parameters,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01023048,Concurrent Single Gene and 24 Chromosome Aneuploidy Preimplantation Genetic Diagnosis (PGD),First Use of Parental Support Technology(R) for Single Gene Analysis Plus Aneuploidy Screening in Preimplantation Genetic Diagnosis,IVF008,"Natera, Inc.",INDUSTRY,NA,COMPLETED,INTERVENTIONAL,56,ACTUAL,2009-11,2014-03,2014-03,,ALL,,40 Years,CHILD;ADULT,1,"Inclusion Criteria:

* couple (mother and father)at risk to have a child with a single gene disorder (e.g. cystic fibrosis, Tay-Sachs, sickle cell anemia)
* Able to provide laboratory report from commercial CLIA certified laboratory confirming presence of disease associated mutation in mother and/or father
* couple planning to go through IVF and desiring PGD for the specified mutation
* Father (male) willing and able to provide sperm sample
* Maternal (female's) age \<40 years (e.g., 39 or younger)
* CVS/Amnio planned once the pregnancy occurs; willing/able to provide amnio/cvs sample for confirmatory testing or provide test results of confirmatory testing performed by an external CLIA certified laboratory.
* FSH \<10 (FSH = Follicle Stimulating Hormone. FSH is an indicator of egg quality and rough predictor of egg stimulation success. FSH is routinely measured by the IVF center prior to beginning an IVF cycle.)

Exclusion Criteria:

* Couples without prior documentation of genetic mutation as specified above
* Adult couples where the male partner is not willing, able, or available to provide a semen sample.
* Maternal age \>=40 years
* Couple unwilling to have amnio/cvs","Gene Security Network has developed a novel technology called Parental SupportTM (PS) which is used for Preimplantation Genetic Screening/Diagnosis (PGS/D) during in vitro fertilization (IVF). This technology allows IVF physicians to identify embryos, prior to transfer to the uterus, which have the best chance of developing into healthy children. The purpose of this study is to validate clinical use of PS to detect specific genetic mutation(s) known to cause severe inheritable diseases in embryos produced by at-risk couples. This may be done while simultaneously testing these embryos for aneuploidy. This study will allow for first of its kind commercial PGS/D testing to detect disease-associated genetic mutations together with aneuploidy screening.","Any Single Gene Disorder (Cystic Fibrosis, Tay-Sachs)",0,,Confirm diagnosis through prenatal diagnosis (CVS or amniocentesis),2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01025258,Improving Adherence and Clinical Outcome in Cystic Fibrosis (CF) Patients,Improving Adherence and Clinical Outcomes of Cystic Fibrosis Patients Through a Collaborative Active Intervention Program of a Multidisciplinary Team,,Sheba Medical Center,OTHER_GOV,NA,COMPLETED,INTERVENTIONAL,70,ACTUAL,2009-12,2010-12,2011-06,,ALL,1 Year,60 Years,CHILD;ADULT,0,"Inclusion Criteria:

1. Patients with diagnosis of Cystic fibrosis at all ages.
2. CF patients that should be treated with one or more of these chronic medications: Tobi (Tobramycin), Coliracin (Colistin), Pulmozyme (Dornase Alpha), Hypertonic Saline (HS), Creon (pancreatic enzymes), AquaADEKs (Multivitamin).
3. Patients willing to participate in a trial.
4. Presence of a parent/guardian capable of providing informed consent.
5. Patients attending CF clinic at least once every 12 months.

Exclusion Criteria:

1. Absence of a parent/guardian or unwillingness to provide permission.
2. Potential participant declines to provide assent.
3. Transplant patients.",The purpose of this study is to assess the impact of a collaborative active intervention program of a multi-disciplinary team on improving adherence to chronic medications and improve clinical outcomes in CF patients.,Cystic Fibrosis,0,,"To determine whether a collaborative intervention program of a multi disciplinary team improves clinical outcomes such as: number of hospital admissions, number of IV ABx courses, and change in %FEV1, BMI. | To determine whether a collaborative intervention program of a multi disciplinary team improves adherence to routinely prescribed CF medications: Tobi, Pulmozyme, Colistine , HS, Creon and AquADEKs multivitamins.",2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01025713,"A Phase 1 Trial to Assess the Safety, Tolerability, and Pharmacokinetics of GS 9411 in Subjects With Cystic Fibrosis (CF)","A Phase 1, Randomized, Double-Blind, Placebo-Controlled Trial to Assess the Safety, Tolerability, and Pharmacokinetics of GS 9411 in Subjects With Cystic Fibrosis (CF)",,Gilead Sciences,INDUSTRY,PHASE1,WITHDRAWN,INTERVENTIONAL,0,ACTUAL,2009-12,2010-03,2010-04,Development program terminated.,ALL,18 Years,65 Years,ADULT;OLDER_ADULT,0,"Inclusion Criteria:

* Males and females aged 18 to 65 years
* Patients with diagnosis of CF as confirmed by at least one of the following:
* Documented sweat chloride ≥ 60 mEq/L by quantitative pilocarpine iontophoresis test OR
* Documented sweat sodium test ≥ 60 mmol/L OR
* Abnormal nasal potential difference test OR
* At least one well-characterized disease-causing genetic mutation in the CF transmembrane conductance regulatory (CFTR) gene AND
* Accompanying symptoms characteristic of CF
* Normal (or abnormal but not clinically significant) electrocardiogram (ECG)
* Normal intraocular pressure (IOP) between 10 and 21 mm Hg at Screening.
* Normal (or abnormal but not clinically significant) blood pressure (BP) and heart rate (HR) in the absence of any medications for hypertension; these will be measured after the subject has rested supine for 3 minutes; normal BP is taken to be 90 to 140 mm Hg systolic and 50 to 89 mm Hg diastolic; normal HR is taken to be 40 to 100 beats per minute (bpm)
* Able to communicate well with the investigator and to comply with the requirements of the entire study
* Provision of written informed consent to participate as shown by a signature on the volunteer consent form
* Nonsmokers for at least 180 days (6 months) prior to Screening
* Must be willing to abstain from alcohol and strenuous exercise during the 48 hours prior to Screening, 72 hours prior to initial dosing, and during the study
* Forced expiratory volume in 1 second (FEV1) ≥ 50% predicted normal for age, gender, and height at Screening as per Knudson et al
* Stable regimen of oral CF medications, dornase alfa, and physiotherapies for the period 28 days prior to Screening; those subjects taking continuous (non-cycling) inhaled antibiotics for prophylaxis must be on a stable regimen of these drugs for at least 90 days prior to Screening
* Subjects must be in the off-phase of any cyclical inhaled antibiotic treatment regimen
* Must test negative for hepatitis B virus (HBV), hepatitis C virus (HCV), and human immunodeficiency virus (HIV) at Screening
* Male subjects who are sexually active must be willing to use effective barrier contraception (e.g., condom) during heterosexual intercourse from Day -1 through completion of the study and continuing for at least 90 days from date of last dose of study drug
* Male subjects must refrain from sperm donation from Day -1 through completion of the study and continuing for at least 90 days from the date of last dose of study drug
* Nonlactating females. Females on hormone replacement therapy (estrogen/progesterone) or contraceptive therapy must be stabilized on a product and dose for at least 90 days prior to Screening
* Females must have a negative serum gonadotropin pregnancy test at Screening and Day -1
* Nonpregnant females of childbearing potential must agree to use highly effective (\<1% failure rate) contraception during heterosexual intercourse from Screening, throughout the study, and for at least 30 days following the last dose of study drug
* Glomerular filtration rate (GFR) of \< 60 mL/min/1.73m2 at Screening (GFR to be calculated using the Cockcroft-Gault equation), and alanine aminotransferase (ALT) and aspartate aminotransferase (AST) less than or equal to 3× upper limits of normal (ULN)
* Chest radiograph at Screening without significant acute findings (e.g., infiltrates \[lobar or diffuse interstitial\], pleural effusion, pneumothorax); or chest radiograph, CT, or MRI obtained within the 90 days prior to Screening without acute findings or significant intercurrent illness; chronic, stable findings (e.g., chronic scarring or atelectasis) are allowed. A chest radiograph obtained and interpreted between Screening and Day 1 is also acceptable for determining eligibility.

Exclusion Criteria:

* Administration of any investigational drug or device in the 28 days prior to Screening
* A need for any new medication during the period 28 days before first dosing with study drug, except those deemed by the principal investigator/clinical investigator not to interfere with the outcome of the study
* Subjects who routinely use inhaled hypertonic saline must discontinue use for at least 14 days prior to clinic admission and for the duration of the study
* Use of trimethoprim or high dose ibuprofen (\> 800 mg/day) during the 28 days prior to first dosing
* Serious adverse reaction or hypersensitivity to any drug
* Existence of any surgical or medical condition which, in the judgment of the clinical investigator, might interfere with the absorption, distribution, metabolism, or excretion of the drug
* Lactating females
* History of airway intolerance to hypertonic saline
* History of lung transplantation
* History of a positive test for Burkholderia cepacia
* History of cirrhosis or ascites
* History of clinically significant adrenal disease
* History of congestive heart failure diagnosed clinically or with documented left ventricular ejection fraction (LVEF) ≤ 40%
* History of glaucoma
* Consumption of drugs and/or herbal preparations capable of inducing hepatic enzyme metabolism (e.g., barbiturates, rifampicin, carbamazepine, phenytoin, primidone, or St. John's Wort) within 28 days (or 5 half-lives of inducing agent, whichever is longer) of Screening
* Subjects requiring any of the following drugs in the 28 days prior to Screening: diuretics (e.g., spironolactone, amiloride, thiazide), ACE inhibitors, angiotensin receptor blockers, oral corticosteroids, or medicines for hypertension
* Donation or loss of greater than 400 mL of blood in the period 90 days (3 months) prior to Screening
* Major surgery within 180 days (6 months) of Screening
* Hemoglobin levels \< 120 g/L in females or \< 130 g/L in males taken at Screening and at Day -1
* Serum potassium \> 5 mEq/L taken at Screening and at Day -1
* Poor venous access","The purpose of this study is to evaluate the safety and tolerability of GS-9411 in patients with Cystic Fibrosis. GS-9411 is a sodium channel inhibitor, that may restore airway hydration and mucociliary clearance in the lung.",Cystic Fibrosis | Mucociliary Clearance,0,,To evaluate the safety and tolerability of escalating doses of inhaled GS-9411 in subjects with CF.,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01031706,Effect of Hypertonic Saline on Mucus Clearance in Children Ages 5-12 With Cystic Fibrosis,Sustained Impact of Hypertonic Saline on Mucociliary Clearance in Young Children With Cystic Fibrosis,,"University of North Carolina, Chapel Hill",OTHER,NA,COMPLETED,INTERVENTIONAL,23,ACTUAL,2009-09,2012-07,2012-07,,ALL,5 Years,12 Years,CHILD,0,"Inclusion Criteria:

* Gender: Females or Males. If the subject is female and of childbearing potential (first menses has occurred), she must have a documented negative pregnancy test at screening and prior to each mucociliary clearance study. Those of childbearing potential must be abstinent or using an acceptable method of birth control (i.e. an Intrauterine Contraceptive Device with a failure rate of \<1%, hormonal contraceptives or a barrier method).
* Age: 5-12 years, inclusive
* Diagnosis: Cystic fibrosis documented by a compatible clinical presentation and sweat chloride \> 60 mEq/l or 2 disease causing CFTR mutations.
* Severity of the Disease: Suitable patients will have mild lung disease, as defined by:

  * Pulmonary Function: Each patient must have an FEV1 of greater than or equal to 60% of predicted at the screening visit.
  * Hemoglobin saturation: Patients must have an oxygen saturation of \>92% on room air as determined by pulse oximetry at the screening visit.
* Informed consent - The patient and a parent or legally authorized guardian must agree to the subject's participation in the study by signing and dating the informed consent/assent forms after the nature of the study has been fully explained and all questions have been satisfactorily answered.

Exclusion Criteria:

* Unstable or asthmatic lung disease: As defined by a change in medical regimen during the preceding 2 weeks; an FEV1 15% below recent (within 6 months) clinical measurements. Patients with a history of co-existent asthma, as manifested by wheezing and significant bronchoreactivity (\>15% increase in FEV1 with bronchodilator), will also be excluded.
* Other medication usage: Patients unable or unwilling to be withdrawn from hypertonic saline therapy for two weeks prior to Visit 1 (baseline MCC visit). Patients using Pulmozyme will be permitted to participate in this trial. Patients on chronic, cycling antibiotics will be required to have completed at least 2 full cycles of the prescribed antibiotic prior to enrollment and should not cycle on or off this therapy during the treatment period of the study.
* Spirometry Performance: Those subjects who are unable to perform acceptable, reproducible spirometry will be excluded from this study.
* Drug allergy: A history of allergy or intolerance to any of the study medications, including albuterol or hypertonic saline.
* Have received an investigational drug or therapy during the preceding 30 days.
* Have had radiation exposure within the past year that would cause them to exceed Federal Regulations by participating in this study.","Previous work demonstrated that inhaled hypertonic saline (HS) reduces exacerbation frequency and improves lung function in adults with cystic fibrosis (CF). It is unclear, however, whether HS will benefit young patients suffering from CF. The investigators propose to further support the concept that HS can benefit children with mild CF lung disease by performing a relatively short, placebo controlled study of HS in 5-12 year olds, using lung function and mucociliary clearance as key outcome measures.",Cystic Fibrosis,1,,Change in Mucociliary Clearance Rate,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01035853,Sino-nasal Inhalation of Colistin in Patients With Cystic Fibrosis and Pseudomonas Aeruginosa Colonization,Sino-nasal Inhalation of Colistin Via the Pari Sinus Nebulizer in Patients With Cystic Fibrosis and Colonization of the Upper Airways With Pseudomonas Aeruginosa,,University of Jena,OTHER,PHASE2,COMPLETED,INTERVENTIONAL,10,ACTUAL,2009-12,2012-04,2012-04,,ALL,6 Years,,CHILD;ADULT;OLDER_ADULT,0,"Inclusion Criteria:

* subject has a confirmed diagnosis of cystic fibrosis
* detection of P. aeruginosa in nasal lavage (culture) with chronic P.a. colonization of the lung (from day -28)
* informed consent of the patients or parents
* subject \>= 6 years
* subject is able to comply with the inhalation procedures and nasal lavage procedures scheduled in the protocol
* women of childbearing potential are only included into the study, if they are using an effective method of birth control during the protocol

Exclusion Criteria:

* subject has a critical condition defined as: forced expiratory volume at one second \< 30% and / or arterial oxygen saturation \< 93% without O2-substitution; need of O2-substitution
* subject had an ear, nose, and throat surgery within 3 months prior to study
* subject shows signs of nasal bleeding
* subject has an ear drum perforation
* subject had an acute rhinosinusitis or a pulmonary exacerbation at study entry with need of additional systemic antibiotic therapy against pseudomonas aeruginosa
* subject is unlikely to comply with the procedures scheduled in the protocol
* subject has a known allergic reaction to the medication
* subject is pregnant or breastfeeding
* subject participates in another clinical trial within 30 days prior to study entry or 30 days after end of the study.
* systemic (oral or intravenous) antibiotic treatment against P.a. 14 days prior to the inclusion and during the study",The purpose of this study is to determine whether the nasal inhalation of Colistin is effective to decrease the Pseudomonas aeruginosa bacterial count in the nasal lavage fluid.,Cystic Fibrosis | Pseudomonas Aeruginosa,0,,Decrease of Pseudomonas aeruginosa in Nasal lavage fluid,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01044719,Duration of Antibiotics in Infective Exacerbations of Cystic Fibrosis,What Duration of Intravenous Antibiotic Therapy Should be Used in the Treatment of Infective Exacerbations of Cystic Fibrosis Chronically Colonised With Pseudomonas Aeruginosa,,Imperial College London,OTHER,PHASE4,UNKNOWN,INTERVENTIONAL,240,ESTIMATED,2010-01,2010-10,2011-04,,ALL,16 Years,,CHILD;ADULT;OLDER_ADULT,0,"Inclusion Criteria:

* 16 years or older
* Diagnosis of Cystic Fibrosis
* Presenting with Infective exacerbation

Exclusion Criteria:

* Unable to give consent
* Allergy to study medications
* Intolerance of aminoglycoside antibiotics
* Pseudomonas resistant to study antibiotics
* On the active transplant list or FEV1\<20% predicted
* Pregnancy/breast-feeding
* Co-existent ABPA requiring a change in treatment
* Co-existent mycobacterial infection
* A previous participant in the study","Cystic Fibrosis patients attending with infective exacerbations will be enrolled into the study. The trial is a double blinded, randomised trial with patients randomised to 10,14 or 21 days of antibiotic therapy, comprising of tobramycin and either ceftazidime or meropenem.",Cystic Fibrosis,0,,Treatment failure at completion of antibiotic course | Time to next exacerbation,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01051999,Glutamine Supplementation in Cystic Fibrosis,Glutamine Supplementation and Immunity in Adults With Cystic Fibrosis,CFG,Emory University,OTHER,PHASE2,COMPLETED,INTERVENTIONAL,17,ACTUAL,2010-02,2011-02,2011-02,,ALL,18 Years,,ADULT;OLDER_ADULT,0,"Inclusion Criteria:

* Adult patients (≥ 18 years of age) with cystic fibrosis who give informed consent
* Patients must have a clinically diagnosed pulmonary exacerbation at time of enrollment, characterized by clinical requirement for oral or intravenous antibiotics associated with pulmonary symptoms such as increased cough or decreased forced expiratory volumes (FEV1)
* Participants must agree to provide phlebotomy samples and complete all study protocol at presentation and at return visits

Exclusion Criteria:

* Any patients taking specific glutamine supplements within 30 days of enrollment
* Pregnant or lactating women
* Patients involved in any other research protocol involving intake of a study drug, in the last 60 days.
* Patients who are chronically immunosuppressed due to drugs or immunosuppressive illness other than CF (e.g. HIV/AIDS, chronic autoimmune disease)
* Patients receiving hemodialysis or with creatinine \>2.5mg/dL
* Patients with liver failure from any cause
* Patients with a history of cancer within the past 12 months or currently receiving anti-neoplastic therapy.
* Patients with a history of seizures","Patients with cystic fibrosis develop frequent and potentially life-threatening lung infections. Recent studies suggest that the nutrient ""glutamine"" may help the body fight off infection. Glutamine is an amino acid; a type of nutrient the body requires to build muscle. It is one of the building blocks of protein. During an illness, blood levels of glutamine tend to be lower than normal. Also, many patients with cystic fibrosis have difficulty getting normal levels of nutrients from food. The aim of this study is to see if patients with cystic fibrosis have low levels of glutamine when they experience an infection, and whether a dietary glutamine supplement taken daily for three months can raise these levels. We also want to see if this supplement can improve other blood markers of immunity (the body's ability to defend itself from infection). We hope to enroll 40 people with cystic fibrosis who experience a lung infection, over a one year period, into this study.",Cystic Fibrosis | Immune Function,0,,"Percent increase in plasma glutamine and glutathione redox levels measured at weeks 0, 4, 8, and 12.",2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT01055847,Aztreonam for Inhalation (AI) in Patients With Cystic Fibrosis & P. Aeruginosa Infection,"A Blinded, Multicenter, Randomized, Placebo-Controlled Trial With Aztreonam for Inhalation (AI) in Cystic Fibrosis Patient With Lung Disease Due to P. Aeruginosa Infection",,Gilead Sciences,INDUSTRY,PHASE2,COMPLETED,INTERVENTIONAL,105,ACTUAL,2003-06,2004-08,2004-09,,ALL,13 Years,,CHILD;ADULT;OLDER_ADULT,0,"Inclusion Criteria:

* Written informed consent prior to the performance of any study related procedures.
* 13 years of age and above.
* Documented sweat chloride ≥ 60 mEq/L by quantitative pilocarpine iontophoresis test (QPIT) or homozygosity for ΔF508 genetic mutation or heterozygosity for two well characterized mutations.
* Ability to perform pulmonary function tests.
* FEV1 ≥ 40% predicted at Visit 1 (Screening).
* SaO2 ≥ 90% at Visit 1 (Screening).
* P. aeruginosa present in sputum at Visit 1 (Screening).
* Ability to expectorate sputum on a daily basis.

Exclusion Criteria:

* Administration of any antibiotic with antipseudomonal activity by any route within 56 days prior to Visit 1 (Screening).
* Administration of any investigational drug or device within 28 days of Visit 1 (Screening) and within 6 half-lives of the investigational drug.
* Oral corticosteroids in doses exceeding 10 mg per day or 20 mg every other day.
* History of sputum culture or throat swab culture yielding B. cepacia in the previous two years.
* Current daily continuous oxygen supplementation or requirement for more than 2 L/min at night.
* Known local or systemic hypersensitivity to monobactam antibiotics.
* Changes in antimicrobial, bronchodilator, anti-inflammatory or corticosteroid medications within 7 days prior to Visit 1 (Screening).
* Changes in physiotherapy technique or schedule within 7 days prior to Visit 1 (Screening).
* History of lung transplantation.
* A chest radiograph at Visit 1 (Screening) or within the previous 90 days of Screening, with abnormalities indicating a significant acute finding (eg, lobar infiltrate and atelectasis, pneumothorax, or pleural effusion).
* Abnormal renal or hepatic function or serum chemistry at Visit 1 (Screening):

  * AST, ALT \> 2.5 times upper limit of normal range.
  * Creatinine \> 1.5 times upper limit of normal range.
* Positive pregnancy test. All women of childbearing potential will be tested.
* Female of childbearing potential who is lactating or is not practicing acceptable method of birth control (eg, hormonal or barrier methods, or IUD).
* Findings at Visit 1 (Screening) that, in the investigator's opinion, would compromise the safety of the patient or the quality of the study data.",This is multicenter placebo-controlled study evaluating the safety and efficacy of AI at two dosage levels compared to placebo in CF patients with P. aeruginosa lung infection.,Cystic Fibrosis | CF | Lung Infection | Pseudomonas Aeruginosa,0,,Change in FEV1 from Baseline to Day 14,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
